time,precipitation,precipitation_probability,temperature_2m
2025-11-06T00:00:00.000Z,0,0,9.98799991607666
2025-11-06T01:00:00.000Z,0,0,9.387999534606934
2025-11-06T02:00:00.000Z,0,0,8.788000106811523
2025-11-06T03:00:00.000Z,0,0,8.23799991607666
2025-11-06T04:00:00.000Z,0,0,7.738000392913818
2025-11-06T05:00:00.000Z,0,0,7.188000202178955
2025-11-06T06:00:00.000Z,0,0,7.038000106811523
2025-11-06T07:00:00.000Z,0,0,8.187999725341797
2025-11-06T08:00:00.000Z,0,0,14.288000106811523
2025-11-06T09:00:00.000Z,0,0,19.08799934387207
2025-11-06T10:00:00.000Z,0,0,21.288000106811523
2025-11-06T11:00:00.000Z,0,0,22.737998962402344
2025-11-06T12:00:00.000Z,0,0,23.58799934387207
2025-11-06T13:00:00.000Z,0,0,24.288000106811523
2025-11-06T14:00:00.000Z,0,0,24.487998962402344
2025-11-06T15:00:00.000Z,0,0,23.937999725341797
2025-11-06T16:00:00.000Z,0,0,22.538000106811523
2025-11-06T17:00:00.000Z,0,0,18.237998962402344
2025-11-06T18:00:00.000Z,0,0,16.13800048828125
2025-11-06T19:00:00.000Z,0,0,14.788000106811523
2025-11-06T20:00:00.000Z,0,0,13.83799934387207
2025-11-06T21:00:00.000Z,0,0,13.288000106811523
2025-11-06T22:00:00.000Z,0,0,12.73799991607666
2025-11-06T23:00:00.000Z,0,0,12.33799934387207
2025-11-07T00:00:00.000Z,0,0,10.98799991607666
2025-11-07T01:00:00.000Z,0,0,10.937999725341797
2025-11-07T02:00:00.000Z,0,0,10.637999534606934
2025-11-07T03:00:00.000Z,0,0,10.23799991607666
2025-11-07T04:00:00.000Z,0,0,9.98799991607666
2025-11-07T05:00:00.000Z,0,0,9.788000106811523
2025-11-07T06:00:00.000Z,0,0,8.687999725341797
2025-11-07T07:00:00.000Z,0,0,10.137999534606934
2025-11-07T08:00:00.000Z,0,0,15.937999725341797
2025-11-07T09:00:00.000Z,0,0,18.687999725341797
2025-11-07T10:00:00.000Z,0,1,21.08799934387207
2025-11-07T11:00:00.000Z,0,1,22.38800048828125
2025-11-07T12:00:00.000Z,0,21,20.88800048828125
2025-11-07T13:00:00.000Z,0,26,21.187999725341797
2025-11-07T14:00:00.000Z,0,28,21.38800048828125
2025-11-07T15:00:00.000Z,0.20000000298023224,15,20.687999725341797
2025-11-07T16:00:00.000Z,0.20000000298023224,12,19.687999725341797
2025-11-07T17:00:00.000Z,0.4000000059604645,14,18.487998962402344
2025-11-07T18:00:00.000Z,0.699999988079071,15,18.1564998626709
2025-11-07T19:00:00.000Z,0,14,18.006500244140625
2025-11-07T20:00:00.000Z,0,3,18.456501007080078
2025-11-07T21:00:00.000Z,0,3,18.456501007080078
