"Start Date:01/14/2026 12:00 AM End Date:01/23/2026 12:00 AM","","","","","","","","","","",""
"DATE","Vehicle ID","Number","Route","Station","ARRIVAL","DEPARTURE","Dwell (sec)","APC Boardings","APC Alightings","EPC Boardings","EPC Alightings"
"2026-01-15","21-107","08:25:00-27036","North Auburn","Creekside 2nd Stop","08:42:25","08:42:56","31","2","0","0","0"
"2026-01-15","21-102","08:35:00-27069","West Campus","The Grove","08:42:31","08:47:09","278","9","1","0","0"
"2026-01-15","21-161","08:50:00-27068","West Campus","Student Center Haley Center Pavillion","08:42:32","08:50:40","488","1","9","0","0"
"2026-01-15","21-137","08:50:00-27024","College Loop","Student Center Greenspace Pavilion","08:42:33","08:51:50","557","1","15","0","0"
"2026-01-15","jAUnt 10","NIS","jAUnt","Duncan Dr & The College of Education","08:42:35","08:42:35","0","0","0","0","0"
"2026-01-15","21-135","08:55:00-27063","South Donahue","Student Center Stadium Parking Deck Pavilion","08:42:38","08:55:24","766","0","10","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","AU Research Park & The Edge Apartments","08:42:48","08:43:19","31","0","1","0","0"
"2026-01-15","21-163","08:50:00-27052","Samford-Shug Jordan","Student Center Greenspace Pavilion","08:42:50","08:51:34","524","0","0","0","0"
"2026-01-15","21-166","08:30:00-27030","Glenn-Harper","Highland Condominiums","08:43:04","08:50:29","445","7","1","0","0"
"2026-01-15","21-149","08:35:00-140","West Glenn","Peachtree Apartments","08:43:10","08:45:20","130","0","0","0","0"
"2026-01-15","21-131","08:30:00-27022","College Loop","The Beacon","08:43:11","08:43:11","0","0","0","0","0"
"2026-01-15","21-157","08:25:00-27025","College Loop","Evergreen Apartments","08:43:24","08:44:37","73","5","0","0","0"
"2026-01-15","21-109","08:20:00-27055","South Auburn","The Magnolia 1st Stop","08:43:37","08:47:17","220","2","1","0","0"
"2026-01-15","21-107","08:25:00-27036","North Auburn","Creekside 3rd Stop","08:43:41","08:44:41","60","4","0","0","0"
"2026-01-15","21-130","08:25:00-27064","South Donahue","Southern Edge Apartments","08:43:45","08:44:21","36","0","0","0","0"
"2026-01-15","jAUnt 10","NIS","jAUnt","South Quad Parking Deck SQ","08:43:55","08:43:55","0","0","0","0","0"
"2026-01-15","21-143","08:30:00-27039","North College","Yugo Auburn North 1","08:44:18","08:44:18","0","2","1","0","0"
"2026-01-15","21-153","08:10:00-27057","South Auburn","Student Center Stadium Parking Deck Pavilion","08:44:31","08:44:31","0","3","8","0","0"
"2026-01-15","21-147","08:30:00-27051","Park & Ride","Extension Loop","08:44:43","08:45:09","26","0","1","0","0"
"2026-01-15","21-146","08:20:00-27040","North Dean -AM  (before 11 am)","North Dean & Drew Ln","08:44:51","08:45:19","28","1","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Eagles West Apartments ","08:45:03","08:45:19","16","0","0","0","0"
"2026-01-15","21-122","08:40:00-27027","East Glenn ","East Thach Ave & Cove Ct","08:45:12","08:45:34","22","1","0","0","0"
"2026-01-15","21-136","08:30:00-27056","South Auburn","Eagle's Landing 2nd Stop","08:45:12","08:51:03","351","1","0","0","0"
"2026-01-15","21-131","08:30:00-27022","College Loop","The Beacon","08:45:14","08:46:23","69","0","0","0","0"
"2026-01-15","21-152","08:35:00-27053","Samford-Shug Jordan","Harper Flatts","08:45:14","08:54:56","582","15","2","0","0"
"2026-01-15","21-117","NIS","No Route","Student Center Haley Center Pavillion","08:45:18","09:17:38","1940","0","0","0","0"
"2026-01-15","21-107","08:25:00-27036","North Auburn","Bowlero Auburn","08:45:22","08:46:01","39","1","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Edge West Apartments ","08:45:29","08:45:50","21","0","0","0","0"
"2026-01-15","21-118","08:30:00-27049","Old Row - West Parking","Eagles West Apartments ","08:45:30","08:46:27","57","0","0","0","0"
"2026-01-15","21-110","08:20:00-27045","North Donahue","Village North (To Campus)","08:45:31","08:45:49","18","0","0","0","0"
"2026-01-15","21-143","08:30:00-27039","North College","Yugo Auburn North 1","08:45:35","08:50:16","281","2","1","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","Sara St & Veterans Pkwy","08:45:39","08:45:59","20","0","0","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","South College St & East Longleaf Dr","08:45:55","08:46:16","21","0","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Hemlock at W. Magnolia","08:46:00","08:46:28","28","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","Neville Arena","08:46:04","08:46:28","24","0","0","0","0"
"2026-01-15","21-141","08:15:00-27046","North Ross","Lowder Hall","08:46:05","08:46:36","31","0","2","0","0"
"2026-01-15","21-151","08:35:00-27050","Park & Ride","Lem Morrison Drive (New Frat Row)","08:46:07","08:46:28","21","0","0","0","0"
"2026-01-15","21-110","08:20:00-27045","North Donahue","Riverwalk Apartments & The View (To Campus)","08:46:08","08:46:36","28","1","0","0","0"
"2026-01-15","21-112","08:15:00-27038","North College","Lowder Hall","08:46:10","08:47:03","53","0","2","0","0"
"2026-01-15","21-146","08:20:00-27040","North Dean -AM  (before 11 am)","Aspen Heights Ln","08:46:14","08:46:34","20","0","0","0","0"
"2026-01-15","21-149","08:35:00-140","West Glenn","Lowder Hall","08:46:16","08:48:00","104","0","5","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","Harmon Duplexes 1st Stop","08:46:20","08:46:37","17","0","0","0","0"
"2026-01-15","21-111","08:40:00-31","Magnolia","Lowder Hall & Shelby Center (From Campus)","08:46:34","08:47:31","57","0","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Dwell Logan Square Apt 1st Stop","08:46:43","08:47:26","43","3","0","0","0"
"2026-01-15","21-132","08:20:00-27029","Glenn-Harper","Lowder Hall","08:46:43","08:48:41","118","0","1","0","0"
"2026-01-15","21-113","08:30:00-27033","Haley West","West Parking Lot #2","08:46:54","08:47:25","31","0","0","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","Harmon Duplexes 2nd Stop","08:46:54","08:47:14","20","0","0","0","0"
"2026-01-15","21-168","08:30:00-27120","South Quad/Fine Arts","FA 2","08:46:55","08:47:19","24","0","0","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","The Mill","08:47:04","08:50:14","190","10","1","0","0"
"2026-01-15","21-118","08:30:00-27049","Old Row - West Parking","The Village","08:47:13","08:48:04","51","0","0","0","0"
"2026-01-15","21-146","08:20:00-27040","North Dean -AM  (before 11 am)","Creekside 1st Stop","08:47:14","08:47:46","32","0","0","0","0"
"2026-01-15","21-159","08:55:00-27071","Webster Road","Student Center Greenspace Pavilion","08:47:21","08:55:08","467","0","7","0","0"
"2026-01-15","21-157","08:25:00-27025","College Loop","Gogue Performing Arts Center","08:47:22","08:47:40","18","0","0","0","0"
"2026-01-15","21-145","08:20:00-135","Magnolia","Lowder Hall & Shelby Center (To Campus)","08:47:24","08:47:56","32","0","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Riverwalk Apartments & The View (From Campus))","08:47:25","08:47:39","14","0","0","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","Sara St & Harmon Dr","08:47:30","08:47:59","29","0","0","0","0"
"2026-01-15","21-170","08:55:00-27034","Health Sciences Sector","Student Center Haley Center Pavillion","08:47:35","08:57:22","587","1","5","0","0"
"2026-01-15","21-113","08:30:00-27033","Haley West","AU Impound Lot","08:47:40","08:48:06","26","0","0","0","0"
"2026-01-15","21-156","08:25:00-27072","Webster Road","Bellwood","08:47:41","08:48:01","20","1","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Village North (From Campus)","08:47:54","08:48:11","17","0","0","0","0"
"2026-01-15","21-146","08:20:00-27040","North Dean -AM  (before 11 am)","Creekside 2nd Stop","08:48:09","08:48:28","19","0","0","0","0"
"2026-01-15","21-111","08:40:00-31","Magnolia","Biggin Hall & Ramsay Hall (From Campus)","08:48:10","08:48:31","21","0","0","0","0"
"2026-01-15","21-157","08:25:00-27025","College Loop","South Donahue Dr & Woodfield Dr","08:48:10","08:48:54","44","0","0","0","0"
"2026-01-15","21-109","08:20:00-27055","South Auburn","The Magnolia 2nd Stop","08:48:12","08:49:03","51","3","0","0","0"
"2026-01-15","21-168","08:30:00-27120","South Quad/Fine Arts","South Quad Parking Deck SQ","08:48:15","08:48:46","31","0","0","0","0"
"2026-01-15","21-115","08:40:00-27023","College Loop","VCOM","08:48:16","08:48:42","26","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","FarmHouse Fraternity","08:48:21","08:48:38","17","0","0","0","0"
"2026-01-15","21-156","08:25:00-27072","Webster Road","Ridgewood Village","08:48:21","08:49:05","44","0","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Dwell Logan Square Apartments 2nd Stop","08:48:23","08:48:52","29","1","0","0","0"
"2026-01-15","21-131","08:30:00-27022","College Loop","Evergreen Apartments","08:48:34","08:49:18","44","0","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Cary Drive & North Donahue Dr ","08:48:38","08:48:54","16","0","0","0","0"
"2026-01-15","21-130","08:25:00-27064","South Donahue","Research Park To Campus","08:48:44","08:49:14","30","0","0","0","0"
"2026-01-15","21-151","08:35:00-27050","Park & Ride","Extension Loop","08:49:01","08:49:28","27","0","0","0","0"
"2026-01-15","21-155","08:45:00-27070","West Campus","Beech St & West Thach Ave","08:49:04","08:49:32","28","1","1","0","0"
"2026-01-15","21-146","08:20:00-27040","North Dean -AM  (before 11 am)","Creekside 3rd Stop","08:49:06","08:49:51","45","1","0","0","0"
"2026-01-15","21-102","08:35:00-27069","West Campus","Lowder Hall","08:49:12","08:49:50","38","0","3","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Peachtree Apartments","08:49:13","08:50:37","84","1","0","0","0"
"2026-01-15","21-145","08:20:00-135","Magnolia","Lowder Hall","08:49:18","08:50:14","56","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","West Parking Lot","08:49:21","08:59:39","618","32","1","0","0"
"2026-01-15","21-103","08:40:00-27073","Webster Road","Greene Hall","08:49:27","08:49:46","19","0","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Woodland Hills Apartments ","08:49:31","08:49:59","28","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","319 Bragg","08:49:39","08:50:05","26","0","0","0","0"
"2026-01-15","21-155","08:45:00-27070","West Campus","Beech Street and Magnolia ","08:49:44","08:50:24","40","0","0","0","0"
"2026-01-15","21-153","08:50:00-27057","South Auburn","Student Center Stadium Parking Deck Pavilion","08:49:48","08:51:49","121","0","0","0","0"
"2026-01-15","21-112","08:55:00-27038","North College","Student Center Stadium Parking Deck Pavilion","08:50:00","08:55:34","334","5","3","0","0"
"2026-01-15","21-113","08:30:00-27033","Haley West","The Village","08:50:01","08:50:43","42","0","2","0","0"
"2026-01-15","21-115","08:40:00-27023","College Loop","AU Federal Credit Union","08:50:03","08:50:32","29","0","0","0","0"
"2026-01-15","21-110","08:20:00-27045","North Donahue","Lowder Hall","08:50:08","08:50:56","48","0","0","0","0"
"2026-01-15","21-156","08:25:00-27072","Webster Road","The Brookes & Hearthstone","08:50:13","08:50:37","24","1","0","0","0"
"2026-01-15","21-103","08:40:00-27073","Webster Road","Crossland Downs & Large Animal Teaching Hospital","08:50:13","08:50:30","17","0","0","0","0"
"2026-01-15","21-154","08:40:00-27108","South Auburn","Samford Square","08:50:16","08:50:54","38","3","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Summer Wind Apartments & The Domain ","08:50:21","08:50:38","17","0","0","0","0"
"2026-01-15","21-149","09:00:00-140","West Glenn","Student Center Haley Center Pavillion","08:50:22","09:00:16","594","9","14","0","0"
"2026-01-15","21-108","08:45:00-27095","Park & Ride","The McWhorter Center","08:50:22","08:50:46","24","0","0","0","0"
"2026-01-15","21-168","08:30:00-27120","South Quad/Fine Arts","Terrell Dining Hall","08:50:26","08:50:52","26","0","0","0","0"
"2026-01-15","21-122","08:40:00-27027","East Glenn ","East Glenn Administrative Support Building / HR","08:50:33","08:51:00","27","1","0","0","0"
"2026-01-15","21-124","08:30:00-136","Magnolia","Magnolia Woods Apartments & Greystone Manor","08:50:49","08:51:37","48","3","0","0","0"
"2026-01-15","21-147","08:55:00-27051","Park & Ride","Student Center Haley Center Pavillion","08:50:50","08:55:41","291","1","5","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","Impound Lot","08:50:53","08:51:30","37","3","0","0","0"
"2026-01-15","21-156","08:25:00-27072","Webster Road","Crossland Downs & Stone Gate Mobile Home Community","08:50:56","08:51:27","31","3","0","0","0"
"2026-01-15","21-143","08:30:00-27039","North College","Yugo Auburn North 2nd Stop","08:51:04","08:51:45","41","6","0","0","0"
"2026-01-15","21-166","08:30:00-27030","Glenn-Harper","Deerwood Apartments","08:51:06","08:51:37","31","1","0","0","0"
"2026-01-15","21-131","08:30:00-27022","College Loop","Gogue Performing Arts Center","08:51:07","08:51:28","21","0","0","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","South College St & East University Dr","08:51:11","08:51:48","37","0","0","0","0"
"2026-01-15","21-141","09:00:00-27046","North Ross","Student Center Greenspace Pavilion","08:51:19","09:00:45","566","1","4","0","0"
"2026-01-15","21-136","08:30:00-27056","South Auburn","Downs Way & West Longleaf Dr","08:51:25","08:52:11","46","3","0","0","0"
"2026-01-15","21-168","08:30:00-27120","South Quad/Fine Arts","Duncan Dr & The College of Education","08:51:41","08:51:55","14","0","0","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","French Quarter","08:51:44","08:52:29","45","9","0","0","0"
"2026-01-15","21-108","08:45:00-27095","Park & Ride","Intramural Field (Biggio Drive)","08:51:44","08:55:02","198","11","0","0","0"
"2026-01-15","21-103","08:40:00-27073","Webster Road","Gentilly Park","08:51:47","08:52:23","36","18","1","0","0"
"2026-01-15","21-132","09:05:00-27029","Glenn-Harper","Student Center Greenspace Pavilion","08:51:49","09:05:58","849","2","2","0","0"
"2026-01-15","21-131","08:30:00-27022","College Loop","South Donahue Dr & Woodfield Dr","08:51:52","08:52:26","34","0","0","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","Beech St & West Thach Ave","08:51:54","08:52:22","28","0","0","0","0"
"2026-01-15","21-156","08:25:00-27072","Webster Road","College of Veterinary Medicine","08:51:54","08:52:08","14","0","0","0","0"
"2026-01-15","21-155","08:45:00-27070","West Campus","The Grove","08:51:55","08:55:32","217","16","3","0","0"
"2026-01-15","21-116","08:30:00-27047","North Ross","Auburn Post Office","08:51:59","08:52:52","53","5","0","0","0"
"2026-01-15","21-158","08:30:00-27058","South College","Lakewood Commons","08:52:01","08:52:26","25","2","0","0","0"
"2026-01-15","21-133","08:40:00-6","West Glenn","Lowder Hall","08:52:05","08:53:01","56","0","1","0","0"
"2026-01-15","21-124","08:30:00-136","Magnolia","Burton House / Terra Nova Apts / Cavell Court","08:52:11","08:52:51","40","2","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Donahue Crossing 1st Stop","08:52:20","09:00:20","480","3","1","0","0"
"2026-01-15","21-154","08:40:00-27108","South Auburn","Eagle's Landing 2nd Stop","08:52:20","08:52:20","0","0","0","0","0"
"2026-01-15","21-111","08:40:00-31","Magnolia","160 Ross","08:52:31","09:00:51","500","20","0","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","Beech St & Magnolia Ave","08:52:37","08:53:10","33","0","0","0","0"
"2026-01-15","21-102","09:00:00-27069","West Campus","Student Center Haley Center Pavillion","08:52:39","09:00:35","476","3","8","0","0"
"2026-01-15","21-118","09:00:00-27049","Old Row - West Parking","Student Center Haley Center Pavillion","08:52:41","09:00:28","467","0","2","0","0"
"2026-01-15","21-115","08:40:00-27023","College Loop","The Beacon","08:52:42","08:52:54","12","0","0","0","0"
"2026-01-15","21-136","08:30:00-27056","South Auburn","Longleaf Villas","08:52:48","08:53:11","23","1","0","0","0"
"2026-01-15","21-145","09:00:00-135","Magnolia","Student Center Stadium Parking Deck Pavilion","08:52:48","09:03:42","654","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Gay St & E Drake Ave ","08:52:49","08:53:08","19","0","0","0","0"
"2026-01-15","21-157","09:00:00-27025","College Loop","Student Center Greenspace Pavilion","08:52:56","08:59:58","422","1","11","0","0"
"2026-01-15","21-151","09:00:00-27050","Park & Ride","Student Center Haley Center Pavillion","08:53:04","09:01:31","507","2","1","0","0"
"2026-01-15","21-160","09:00:00-27026","East Glenn ","Mell St Station","08:53:10","09:00:17","427","1","1","0","0"
"2026-01-15","21-142","08:45:00-27059","South College","Savannah Sq & Williamsburg Pl","08:53:19","09:00:10","411","4","1","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","West Magnolia Ave & Hemlock Dr","08:53:21","08:53:52","31","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Martin Ave & North Gay St","08:53:22","08:53:58","36","6","0","0","0"
"2026-01-15","21-103","08:40:00-27073","Webster Road","Webster Crossing","08:53:22","08:53:40","18","0","0","0","0"
"2026-01-15","21-136","08:30:00-27056","South Auburn","The Magnolia 1st Stop","08:53:55","08:55:17","82","9","0","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","Edge West Apartments","08:54:08","09:00:27","379","10","2","0","0"
"2026-01-15","21-130","09:05:00-27064","South Donahue","Student Center Stadium Parking Deck Pavilion","08:54:18","09:07:45","807","0","0","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Eagles West Apartments ","08:54:30","08:54:48","18","0","0","0","0"
"2026-01-15","21-168","09:05:00-27120","South Quad/Fine Arts","Mell St Station","08:54:33","09:05:19","646","2","2","0","0"
"2026-01-15","21-106","08:45:00-27062","South Donahue","AU Research Park & The Edge Apartments","08:54:47","08:55:18","31","0","0","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","Southern Edge Apartments","08:54:52","08:55:50","58","4","0","0","0"
"2026-01-15","21-122","08:40:00-27027","East Glenn ","Delta Aviation School","08:54:57","09:00:37","340","0","1","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Edge West Apartments ","08:55:02","08:55:35","33","1","0","0","0"
"2026-01-15","21-139","08:45:00-27035","North Auburn","Aspen Heights Ln","08:55:25","09:00:45","320","7","1","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Hemlock at W. Magnolia","08:55:46","08:56:23","37","0","1","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Tullahoma Dr at Shelton Mill Rd","08:55:56","08:56:15","19","0","0","0","0"
"2026-01-15","21-136","08:30:00-27056","South Auburn","The Magnolia 2nd Stop","08:56:04","08:57:06","62","7","0","0","0"
"2026-01-15","21-108","08:45:00-27095","Park & Ride","Lem Morrison Drive (New Frat Row)","08:56:06","08:56:36","30","4","0","0","0"
"2026-01-15","21-161","08:50:00-27068","West Campus","Beech St & West Thach Ave","08:56:06","08:56:44","38","4","0","0","0"
"2026-01-15","21-113","09:00:00-27033","Haley West","Student Center Haley Center Pavillion","08:56:10","09:00:56","286","0","0","0","0"
"2026-01-15","21-107","09:05:00-27036","North Auburn","Mell St Station","08:56:14","09:06:01","587","3","16","0","0"
"2026-01-15","21-134","08:40:00-27043","North Dean -AM  (before 11 am)","Gentry Dr & Drew Ln","08:56:22","08:57:17","55","0","0","0","0"
"2026-01-15","21-143","08:30:00-27039","North College","Sanders St & Bragg Ave ","08:56:23","08:56:44","21","1","0","0","0"
"2026-01-15","21-123","08:50:00-134","Magnolia","Lowder Hall & Shelby Center (From Campus)","08:56:36","08:57:15","39","0","0","0","0"
"2026-01-15","21-133","09:05:00-6","West Glenn","Student Center Haley Center Pavillion","08:56:39","09:05:54","555","4","4","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Dwell Logan Square Apt 1st Stop","08:56:40","08:57:33","53","15","1","0","0"
"2026-01-15","21-161","08:50:00-27068","West Campus","Beech Street and Magnolia ","08:56:57","08:57:37","40","3","0","0","0"
"2026-01-15","21-124","08:30:00-136","Magnolia","Lowder Hall & Shelby Center (To Campus)","08:57:00","08:57:53","53","1","3","0","0"
"2026-01-15","21-119","08:45:00-114","Wire Road","Greene Hall","08:57:21","08:57:40","19","0","0","0","0"
"2026-01-15","21-123","08:50:00-134","Magnolia","Biggin Hall & Ramsay Hall (From Campus)","08:57:44","08:58:12","28","0","0","0","0"
"2026-01-15","21-137","08:50:00-27024","College Loop","VCOM","08:57:52","08:58:21","29","0","0","0","0"
"2026-01-15","21-163","08:50:00-27052","Samford-Shug Jordan","KA Stop","08:58:02","08:58:24","22","0","0","0","0"
"2026-01-15","21-109","09:00:00-27055","South Auburn","Student Center Stadium Parking Deck Pavilion","08:58:07","09:01:09","182","1","7","0","0"
"2026-01-15","21-119","08:45:00-114","Wire Road","Crossland Downs & Large Animal Teaching Hospital","08:58:08","08:58:25","17","0","0","0","0"
"2026-01-15","21-152","08:35:00-27053","Samford-Shug Jordan","3-D Arts Center & Facilities Management","08:58:08","08:58:47","39","0","0","0","0"
"2026-01-15","21-106","08:45:00-27062","South Donahue","South College St & East Longleaf Dr","08:58:12","08:58:38","26","0","0","0","0"
"2026-01-15","21-166","08:30:00-27030","Glenn-Harper","Lowder Hall","08:58:15","08:58:53","38","1","2","0","0"
"2026-01-15","21-115","08:40:00-27023","College Loop","Evergreen Apartments","08:58:17","08:59:00","43","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Yugo Auburn North 1","08:58:17","08:58:17","0","5","0","0","0"
"2026-01-15","21-116","08:30:00-27047","North Ross","Lowder Hall","08:58:32","08:59:38","66","1","4","0","0"
"2026-01-15","21-158","09:05:00-27058","South College","Mell St Station","08:58:34","09:05:17","403","1","4","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Dwell Logan Square Apartments 2nd Stop","08:58:34","08:59:15","41","4","0","0","0"
"2026-01-15","21-134","08:40:00-27043","North Dean -AM  (before 11 am)","Auburn Medical Park","08:58:40","08:59:07","27","0","0","0","0"
"2026-01-15","21-144","08:45:00-27048","North Ross","East Drake Ave & North Ross St","08:58:47","08:59:08","21","0","0","0","0"
"2026-01-15","21-124","08:30:00-136","Magnolia","Lowder Hall","08:59:00","09:00:03","63","0","0","0","0"
"2026-01-15","21-108","08:45:00-27095","Park & Ride","Extension Loop","08:59:04","08:59:24","20","0","0","0","0"
"2026-01-15","21-161","08:50:00-27068","West Campus","The Grove","08:59:11","09:01:35","144","24","0","0","0"
"2026-01-15","21-155","08:45:00-27070","West Campus","Lowder Hall","08:59:21","09:00:38","77","1","3","0","0"
"2026-01-15","21-106","08:45:00-27062","South Donahue","The Mill","08:59:28","09:01:27","119","21","0","0","0"
"2026-01-15","21-110","09:00:00-27045","North Donahue","Student Center Greenspace Pavilion","08:59:28","09:00:57","89","0","0","0","0"
"2026-01-15","21-144","08:45:00-27048","North Ross","North Ross St & Martin Ave","08:59:29","09:00:07","38","0","0","0","0"
"2026-01-15","21-128","08:50:00-139","West Glenn","Peachtree Apartments","08:59:41","09:01:17","96","5","1","0","0"
"2026-01-15","21-119","08:45:00-114","Wire Road","Gentilly Park","08:59:44","09:00:00","16","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","West Parking Lot #2","08:59:49","09:00:08","19","0","0","0","0"
"2026-01-15","21-146","09:10:00-27040","North Dean -AM  (before 11 am)","Mell St Station","08:59:50","09:09:59","609","2","3","0","0"
"2026-01-15","21-131","NIS","College Loop","Student Center Greenspace Pavilion","09:00:01","09:00:01","0","0","0","0","0"
"2026-01-15","21-137","08:50:00-27024","College Loop","AU Federal Credit Union","09:00:10","09:00:46","36","0","0","0","0"
"2026-01-15","21-129","08:50:00-27031","Glenn-Harper","Gay St & Mitcham Ave (The Standard)","09:00:12","09:02:30","138","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Yugo Auburn North 1","09:00:13","09:00:35","22","5","0","0","0"
"2026-01-15","21-119","08:45:00-114","Wire Road","Conway Acres","09:00:18","09:05:32","314","0","0","0","0"
"2026-01-15","21-131","09:05:00-27022","College Loop","Student Center Greenspace Pavilion","09:00:21","09:06:45","384","0","0","0","0"
"2026-01-15","21-144","08:45:00-27048","North Ross","Gazebo Apartments","09:00:26","09:01:03","37","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","AU Impound Lot","09:00:27","09:00:50","23","0","0","0","0"
"2026-01-15","21-143","08:30:00-27039","North College","Lowder Hall","09:00:31","09:01:43","72","0","1","0","0"
"2026-01-15","21-154","08:40:00-27108","South Auburn","Downs Way & West Longleaf Dr","09:00:36","09:00:55","19","1","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Donahue Crossing 2nd Stop","09:00:41","09:01:16","35","5","0","0","0"
"2026-01-15","21-142","08:45:00-27059","South College","Sara St & Veterans Pkwy","09:00:46","09:01:05","19","0","0","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","Eagles West Apartments ","09:00:46","09:01:54","68","4","0","0","0"
"2026-01-15","21-127","08:35:00-27065","South Donahue","Research Park To Campus","09:01:05","09:02:01","56","12","0","0","0"
"2026-01-15","21-147","08:55:00-27051","Park & Ride","The McWhorter Center","09:01:11","09:01:25","14","0","0","0","0"
"2026-01-15","21-114","08:40:00-27037","North College","Yugo Auburn North 2nd Stop","09:01:14","09:02:06","52","6","0","0","0"
"2026-01-15","21-139","08:45:00-27035","North Auburn","Creekside 1st Stop","09:01:19","09:02:32","73","13","0","0","0"
"2026-01-15","21-142","08:45:00-27059","South College","Harmon Duplexes 1st Stop","09:01:24","09:01:48","24","0","0","0","0"
"2026-01-15","21-111","08:40:00-31","Magnolia","Magnolia Woods Apartments & Greystone Manor","09:01:24","09:01:59","35","3","0","0","0"
"2026-01-15","21-112","08:55:00-27038","North College","319 Bragg","09:01:26","09:02:19","53","0","0","0","0"
"2026-01-15","21-144","08:45:00-27048","North Ross","North Ross St & Mary Ln","09:01:26","09:02:04","38","0","0","0","0"
"2026-01-15","21-101","08:40:00-27044","North Donahue","Donahue Crossing 3rd Stop","09:01:38","09:02:03","25","1","0","0","0"
"2026-01-15","21-115","08:40:00-27023","College Loop","Gogue Performing Arts Center","09:01:42","09:01:57","15","0","0","0","0"
"2026-01-15","21-124","09:10:00-136","Magnolia","Student Center Stadium Parking Deck Pavilion","09:01:45","09:10:16","511","2","11","0","0"
"2026-01-15","21-154","08:40:00-27108","South Auburn","Longleaf Villas","09:01:46","09:02:04","18","0","0","0","0"
"2026-01-15","21-134","08:40:00-27043","North Dean -AM  (before 11 am)","Auburn Mall","09:01:51","09:02:38","47","1","0","0","0"
"2026-01-15","21-156","09:10:00-27072","Webster Road","Student Center Greenspace Pavilion","09:01:51","09:10:14","503","5","5","0","0"
"2026-01-15","21-142","08:45:00-27059","South College","Harmon Duplexes 2nd Stop","09:01:58","09:02:17","19","0","0","0","0"
"2026-01-15","21-166","09:15:00-27030","Glenn-Harper","Student Center Greenspace Pavilion","09:01:59","09:15:55","836","4","3","0","0"
"2026-01-15","21-153","08:50:00-27057","South Auburn","Samford Square","09:02:08","09:02:53","45","3","2","0","0"
"2026-01-15","21-144","08:45:00-27048","North Ross","Mary Ln & Harris Ave","09:02:16","09:06:22","246","0","0","0","0"
"2026-01-15","21-147","08:55:00-27051","Park & Ride","Intramural Field (Biggio Drive)","09:02:19","09:05:31","192","8","0","0","0"
"2026-01-15","21-120","08:45:00-17","Old Row - West Parking","The Village","09:02:27","09:03:10","43","0","0","0","0"
"2026-01-15","21-138","08:45:00-27032","Haley West","The Village","09:02:28","09:02:56","28","0","0","0","0"
